name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
COUNT_DISPUTES,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,
FIRST_DISPUTE_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_AMOUNT,VARIANT,COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_LAST_DISPUTE_FRAUD_RELATED_REASON,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_DISPUTE_SOURCE,VARIANT,COLUMN,Y,,N,N,,,,,
FIRST_NON_FRAUD_DISPUTE_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
FRAUD_ALERTS,ARRAY,COLUMN,Y,,N,N,,,,,
COUNT_FRAUD_ALERTS,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,
FIRST_FRAUD_ALERT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_FRAUD_ALERT_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_FRAUD_ALERT_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
NSURE_INITIATED_REFUND_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
LAST_NSURE_INITIATED_REFUND_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_REFUND_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
